Progress,Finished,gen,age,edu,money_i,money_ni,moneySC,l_moneySC,time_i,time_ni,timeSC,l_timeSC,attn,n_cog1,n_cog2,n_cog3,n_cogC
100,TRUE,Female,22,High school,1,4,3,0.602059991,5,2,-3,-0.602059991,2,500,,100,1
100,TRUE,Female,22,Trade/technical/vocational school/ Associates degree,2,5,3,0.602059991,5,5,0,0,2,500,10,0.1,3
100,TRUE,Female,21,College (Bachelor's Degree),5,5,0,0,4,4,0,0,2,,10,0.1,2
100,TRUE,Female,21,College (Bachelor's Degree),1,5,4,0.698970004,3,4,1,0.301029996,2,500,100,0.01,1
100,TRUE,Female,23,College (Bachelor's Degree),1,5,4,0.698970004,1,1,0,0,2,500,10,0.1,3
100,TRUE,Female,36,College (Bachelor's Degree),4,4,0,0,3,4,1,0.301029996,2,500,10,,2
100,TRUE,Female,22,Trade/technical/vocational school/ Associates degree,4,4,0,0,3,3,0,0,2,,10,0.1,2
100,TRUE,Female,22,High school,3,5,2,0.477121255,3,3,0,0,2,500,100,0.1,2
100,TRUE,Male,47,University or above (Master's or Doctoral Degree),2,4,2,0.477121255,4,4,0,0,2,500,10,0.1,3
100,TRUE,Male,48,University or above (Master's or Doctoral Degree),5,5,0,0,4,4,0,0,2,500,10,,2
100,TRUE,Male,50,University or above (Master's or Doctoral Degree),4,5,1,0.301029996,4,4,0,0,2,500,10,0.01,2
100,TRUE,Female,48,University or above (Master's or Doctoral Degree),5,5,0,0,2,3,1,0.301029996,2,500,,0.1,2
100,TRUE,Female,53,University or above (Master's or Doctoral Degree),1,3,2,0.477121255,2,2,0,0,2,,10,0.1,2
100,TRUE,Female,21,Trade/technical/vocational school/ Associates degree,3,5,2,0.477121255,4,3,-1,-0.301029996,2,500,10,0.1,3
100,TRUE,Female,42,College (Bachelor's Degree),5,5,0,0,3,1,-2,-0.477121255,2,500,10,0.1,3
100,TRUE,Female,35,College (Bachelor's Degree),1,5,4,0.698970004,5,4,-1,-0.301029996,2,500,10,,2
100,TRUE,Female,21,High school,2,2,0,0,3,3,0,0,2,500,1,1,1
